brand,gender_m3,age_m3,org_m3,state,region
Adidas,male,>=40,non-org,TX,South
Adidas,male,>=40,non-org,CA,West
Adidas,male,<=18,non-org,MA,Northeast
Adidas,male,19-29,non-org,,
Adidas,male,>=40,non-org,,
Adidas,male,<=18,non-org,NY,Northeast
Adidas,male,>=40,non-org,TX,South
Adidas,male,>=40,non-org,TX,South
Adidas,male,30-39,non-org,CA,West
Adidas,female,19-29,non-org,,
Adidas,male,30-39,non-org,FL,South
Adidas,male,>=40,non-org,WA,West
Adidas,male,19-29,non-org,MI,West
Adidas,male,19-29,non-org,MI,West
Adidas,male,19-29,non-org,IN,Midwest
Adidas,male,19-29,non-org,VI,Other
Adidas,male,19-29,non-org,NY,Northeast
Adidas,male,<=18,non-org,TX,South
Adidas,male,<=18,non-org,LA,South
Adidas,male,19-29,non-org,CA,West
Adidas,male,>=40,is-org,TX,South
Adidas,male,19-29,non-org,MI,West
Adidas,male,<=18,non-org,,
Adidas,male,19-29,non-org,,
Adidas,male,>=40,non-org,OH,Midwest
Adidas,male,>=40,non-org,OH,Midwest
Adidas,male,>=40,non-org,CA,West
Adidas,male,30-39,non-org,AZ,West
Adidas,male,19-29,non-org,GA,South
Adidas,male,19-29,non-org,NY,Northeast
Adidas,female,19-29,non-org,,
Adidas,male,19-29,non-org,CA,West
Adidas,male,30-39,non-org,CA,West
Adidas,male,30-39,non-org,,
Adidas,male,>=40,non-org,OH,Midwest
Adidas,male,30-39,non-org,,
Adidas,male,<=18,non-org,NC,South
Adidas,male,30-39,non-org,CA,West
Adidas,male,19-29,non-org,CO,West
Adidas,male,<=18,non-org,LA,South
Adidas,male,19-29,non-org,CA,West
Adidas,male,>=40,non-org,CA,West
Adidas,male,>=40,non-org,CA,West
Adidas,male,<=18,non-org,NV,West
Adidas,male,19-29,non-org,,
Adidas,male,19-29,non-org,,
Adidas,male,<=18,non-org,,
Adidas,male,19-29,non-org,,
Adidas,male,30-39,non-org,FL,South
Adidas,male,19-29,non-org,PA,Northeast
Adidas,female,>=40,non-org,,
Adidas,male,19-29,non-org,MN,Midwest
Adidas,female,19-29,non-org,,
Adidas,male,19-29,non-org,PA,Northeast
Adidas,male,<=18,non-org,,
Adidas,female,19-29,non-org,FL,South
Adidas,male,19-29,non-org,FL,South
Adidas,male,30-39,non-org,OR,West
Adidas,female,30-39,non-org,,
Adidas,male,19-29,non-org,,
Adidas,male,19-29,non-org,PA,Northeast
Adidas,male,19-29,non-org,,
Adidas,female,19-29,non-org,GA,South
Adidas,male,30-39,non-org,VA,South
Adidas,male,30-39,non-org,NC,South
Adidas,female,<=18,non-org,FL,South
Adidas,male,<=18,non-org,NJ,Northeast
Adidas,male,>=40,non-org,IL,Midwest
Adidas,male,19-29,is-org,CA,West
Adidas,male,19-29,non-org,OH,Midwest
Adidas,male,19-29,non-org,,
Adidas,male,19-29,non-org,PA,Northeast
Adidas,male,19-29,non-org,MD,Northeast
Adidas,male,<=18,non-org,,
Adidas,male,19-29,non-org,PA,Northeast
Adidas,male,19-29,non-org,,
Adidas,male,<=18,non-org,VT,Northeast
Adidas,male,<=18,non-org,CA,West
Adidas,male,19-29,non-org,PA,Northeast
Adidas,male,<=18,non-org,NJ,Northeast
Adidas,male,<=18,non-org,DC,Northeast
Adidas,male,30-39,non-org,ME,Northeast
Adidas,male,19-29,non-org,,
Adidas,male,19-29,non-org,,
Adidas,male,<=18,non-org,MA,Northeast
Adidas,male,30-39,non-org,VA,South
Adidas,male,30-39,non-org,TX,South
Adidas,male,19-29,non-org,PA,Northeast
Adidas,male,19-29,non-org,,
Adidas,male,<=18,non-org,CA,West
Adidas,male,19-29,non-org,,
Adidas,male,<=18,non-org,,
Adidas,female,>=40,non-org,WI,Midwest
Adidas,male,<=18,non-org,,
Adidas,male,>=40,non-org,LA,South
Adidas,male,<=18,non-org,,
Adidas,male,<=18,non-org,,
Adidas,male,30-39,non-org,TX,South
Adidas,male,<=18,non-org,,
Adidas,male,30-39,non-org,DE,Northeast
Adidas,male,>=40,non-org,KS,Midwest
Adidas,male,19-29,non-org,TX,South
Adidas,male,19-29,non-org,,
Adidas,male,19-29,non-org,CA,West
Adidas,male,19-29,non-org,TX,South
Adidas,male,>=40,non-org,CA,West
Adidas,male,>=40,non-org,TX,South
Adidas,female,19-29,non-org,ID,West
