,Q1,Q2,Q3,Q14,region
1168,67,2,34,2,3
1014,58,2,6,2,4
1221,38,2,48,2,4
928,36,1,44,2,3
922,35,1,26,2,2
944,36,1,10,2,3
1188,49,2,38,2,4
731,39,2,44,2,3
1070,43,2,3,2,4
790,29,1,26,2,2
937,36,1,44,2,3
1242,40,2,36,2,2
1226,41,2,39,2,1
1066,44,2,32,2,4
1229,56,2,10,2,3
1022,44,2,5,2,4
858,24,2,33,2,1
724,50,2,10,2,3
1030,69,2,27,2,4
1184,68,2,3,2,4
1028,41,2,3,2,4
861,25,2,31,2,1
735,52,2,38,2,4
897,35,2,31,2,1
1087,56,1,14,2,2
911,32,1,36,2,2
835,34,1,42,2,2
757,36,2,6,2,4
983,45,2,48,2,4
1269,26,2,48,2,4
758,38,2,6,2,4
1115,34,2,21,2,3
904,29,1,14,2,2
819,25,1,36,2,2
760,32,2,5,2,4
1217,62,2,33,2,1
762,33,2,5,2,4
1118,68,1,22,2,1
978,36,1,14,2,2
1328,29,2,33,2,1
1329,32,1,48,2,4
1209,26,2,33,2,1
1285,67,1,36,2,2
754,25,3,5,2,4
1286,63,2,36,2,2
913,23,2,36,2,2
737,36,2,11,2,3
739,36,2,11,2,3
1153,34,2,39,2,1
1333,40,2,4,2,3
954,36,2,14,2,2
1313,41,2,33,2,1
880,34,2,33,2,1
744,29,2,10,2,3
1158,59,2,36,2,2
957,38,1,44,2,3
1096,68,1,5,2,4
965,27,1,10,2,3
747,40,2,5,2,4
748,38,2,34,2,3
1098,38,1,48,2,4
915,27,1,44,2,3
914,38,1,50,2,2
1318,44,2,18,2,3
960,27,1,10,2,3
848,35,1,33,2,1
1040,40,2,5,2,4
716,37,2,4,2,3
722,36,2,47,2,3
293,49,1,21,2,3
291,65,2,3,2,4
289,49,2,10,2,3
281,54,2,33,2,1
270,63,2,48,2,4
1721,46,2,33,2,1
265,30,1,47,2,3
1725,69,2,21,2,3
1733,39,1,48,2,4
1735,63,1,48,2,4
250,65,2,5,2,4
1740,40,2,15,2,2
1752,40,2,14,2,2
239,67,2,14,2,2
238,69,2,36,2,2
1756,66,2,3,2,4
