Age,Gender,States,Region,Count
1,2,IL,Midwsest,1
1,2,WA,West,1
2,1,CA,West,1
2,1,FL,South,4
2,1,GA,South,1
2,1,IL,Midwsest,1
2,1,IN,Midwsest,1
2,1,MD,South,1
2,1,MI,Midwsest,1
2,1,MO,Midwsest,1
2,1,MT,West,1
2,1,NC,South,1
2,1,OH,Midwsest,1
2,1,PA,Northeast,3
2,1,TX,South,1
2,1,VA,South,1
2,2,AZ,West,1
2,2,CA,West,1
2,2,DE,South,1
2,2,FL,South,4
2,2,GA,South,1
2,2,IL,Midwsest,1
2,2,MI,Midwsest,2
2,2,NC,South,1
2,2,NJ,Northeast,1
2,2,NY,Northeast,3
2,2,OH,Midwsest,2
2,2,PA,Northeast,1
2,2,TX,South,2
2,2,WA,West,1
2,3,CA,West,1
3,1,AL,South,1
3,1,AR,South,1
3,1,CA,West,1
3,1,CT,Northeast,1
3,1,FL,South,3
3,1,GA,South,1
3,1,IL,Midwsest,3
3,1,LA,South,1
3,1,MO,Midwsest,1
3,1,NY,Northeast,3
3,1,OH,Midwsest,1
3,1,OK,South,1
3,1,SD,Midwsest,1
3,1,TN,South,1
3,1,TX,South,4
3,1,UT,West,1
3,1,VA,South,1
3,1,WA,West,3
3,1,WI,Midwsest,1
3,2,AR,South,4
3,2,CA,West,8
3,2,CO,West,2
3,2,FL,South,8
3,2,GA,South,2
3,2,IL,Midwsest,1
3,2,MD,South,3
3,2,MO,Midwsest,1
3,2,NC,South,3
3,2,NJ,Northeast,3
3,2,NY,Northeast,3
3,2,OK,South,1
3,2,PA,Northeast,1
3,2,SC,South,1
3,2,TN,South,1
3,2,TX,South,10
3,2,UT,West,2
3,2,VA,South,2
3,2,WA,West,1
3,2,WI,Midwsest,1
3,2,WY,West,2
4,1,AZ,West,2
4,1,CA,West,6
4,1,CO,West,2
4,1,CT,Northeast,1
4,1,FL,South,3
4,1,GA,South,1
4,1,ID,West,1
4,1,IL,Midwsest,5
4,1,KY,South,2
4,1,MA,Northeast,1
4,1,MD,South,2
4,1,ME,Northeast,2
4,1,MI,Midwsest,3
4,1,MN,Midwsest,2
4,1,NC,South,2
4,1,NY,Northeast,3
4,1,OH,Midwsest,2
4,1,PA,Northeast,1
4,1,SC,South,1
4,1,TN,South,1
4,1,TX,South,2
4,1,WA,West,2
4,2,AR,South,2
4,2,AZ,West,6
4,2,CA,West,11
4,2,CO,West,3
4,2,CT,Northeast,1
4,2,FL,South,7
4,2,IA,Midwsest,2
4,2,ID,West,1
4,2,IL,Midwsest,5
4,2,IN,Midwsest,2
4,2,KY,South,3
4,2,MD,South,2
4,2,MI,Midwsest,1
4,2,MO,Midwsest,3
4,2,MT,West,1
4,2,NC,South,3
4,2,NE,Midwsest,1
4,2,NM,West,2
4,2,NY,Northeast,6
4,2,OH,Midwsest,5
4,2,OR,West,2
4,2,PA,Northeast,1
4,2,TX,South,4
4,2,WA,West,2
4,2,WI,Midwsest,1
