,Q1,Q2,Q3,Q14,region
919,32,1,10,6,3
612,27,1,3,6,4
197,64,2,33,6,1
1448,48,1,23,6,2
607,31,1,11,6,3
392,35,1,1,6,3
381,64,2,34,6,3
377,68,2,31,6,1
1200,62,1,21,6,3
615,33,1,10,6,3
625,39,2,6,6,4
902,34,2,36,6,2
977,35,2,44,6,3
1922,24,1,14,6,2
655,41,1,5,6,4
1657,40,1,10,6,3
651,48,1,3,6,4
873,30,3,7,6,1
1078,46,3,5,6,4
1839,33,2,33,6,1
647,37,1,10,6,3
636,36,1,49,6,3
209,31,1,3,6,4
1842,24,3,9,6,3
205,52,1,31,6,1
894,36,2,33,6,1
1788,42,1,5,6,4
898,37,2,14,6,2
644,39,1,3,6,4
602,24,1,34,6,3
191,63,1,11,6,3
1190,59,1,11,6,3
1880,31,1,5,6,4
520,51,1,44,6,3
1821,48,1,5,6,4
953,25,3,15,6,2
1530,27,1,44,6,3
959,33,3,43,6,3
1881,22,1,5,6,4
1936,31,3,26,6,2
1572,22,1,11,6,3
1831,29,1,33,6,1
487,32,2,21,6,3
1569,36,1,10,6,3
1546,28,1,41,6,3
1933,19,1,5,6,4
1549,26,1,44,6,3
1550,38,1,34,6,3
1884,30,1,4,6,3
1566,22,1,43,6,3
1991,24,1,16,6,2
1879,27,1,5,6,4
1876,28,2,10,6,3
947,21,1,44,6,3
1515,28,2,36,6,2
927,26,1,47,6,3
85,33,1,47,6,3
1187,61,2,3,6,4
930,24,1,34,6,3
1905,18,1,5,6,4
188,68,2,5,6,4
14,35,1,50,6,2
556,36,1,9,6,3
424,68,1,29,6,4
425,60,2,23,6,2
1023,61,2,26,6,2
1593,30,2,21,6,3
1807,37,1,5,6,4
1507,43,1,36,6,2
1810,51,1,29,6,4
1904,20,3,26,6,2
537,54,1,19,6,3
1814,30,1,5,6,4
533,33,2,44,6,3
1517,36,1,10,6,3
337,43,1,37,6,3
1562,29,1,43,6,3
305,66,2,10,6,3
1765,37,1,5,6,4
145,47,2,1,6,3
1279,63,1,26,6,2
49,18,1,44,6,3
785,35,1,22,6,1
1969,23,3,26,6,2
678,34,1,5,6,4
48,52,1,15,6,2
675,44,1,48,6,4
689,21,1,5,6,4
677,51,1,48,6,4
718,50,2,11,6,3
1688,33,2,44,6,3
1351,49,1,48,6,4
47,21,1,16,6,2
700,22,1,5,6,4
807,21,3,39,6,1
831,29,1,33,6,1
741,35,2,5,6,4
1294,55,2,31,6,1
809,31,1,31,6,1
864,30,2,39,6,1
1386,21,1,36,6,2
1389,34,1,33,6,1
1755,64,2,10,6,3
1292,66,2,22,6,1
299,20,1,3,6,4
292,22,1,41,6,3
1002,58,2,36,6,2
