Age,Gender,States,Region,Count
1,1,CA,West,1
1,1,TX,South,1
2,1,AZ,West,2
2,1,CA,West,5
2,1,GA,South,1
2,1,IA,Midwsest,2
2,1,IL,Midwsest,1
2,1,NC,South,2
2,1,NY,Northeast,2
2,1,OH,Midwsest,1
2,1,SC,South,2
2,1,TN,South,2
2,1,TX,South,3
2,1,VA,South,1
2,2,FL,South,1
2,2,OH,Midwsest,1
2,3,DC,South,1
2,3,IN,Midwsest,1
2,3,MO,Midwsest,2
2,3,PA,Northeast,1
3,1,AL,South,1
3,1,AR,South,1
3,1,AZ,West,2
3,1,CA,West,5
3,1,DC,South,1
3,1,FL,South,5
3,1,GA,South,1
3,1,MA,Northeast,1
3,1,NC,South,1
3,1,NJ,Northeast,1
3,1,NY,Northeast,1
3,1,VA,South,1
3,1,WI,Midwsest,1
3,1,WV,South,1
3,2,CA,West,1
3,2,CO,West,1
3,2,IL,Midwsest,1
3,2,MD,South,2
3,2,NY,Northeast,2
3,2,OH,Midwsest,1
3,2,PA,Northeast,1
3,2,TX,South,3
3,3,CT,Northeast,1
3,3,MO,Midwsest,1
3,3,TN,South,1
4,1,AZ,West,1
4,1,CA,West,3
4,1,FL,South,1
4,1,GA,South,2
4,1,IN,Midwsest,1
4,1,LA,South,1
4,1,MD,South,1
4,1,MI,Midwsest,1
4,1,MO,Midwsest,1
4,1,NJ,Northeast,1
4,1,NV,West,2
4,1,OH,Midwsest,1
4,1,OK,South,1
4,1,TX,South,1
4,1,WA,West,3
4,2,AL,South,1
4,2,AZ,West,1
4,2,CA,West,1
4,2,FL,South,2
4,2,GA,South,1
4,2,MA,Northeast,1
4,2,MI,Midwsest,1
4,2,MO,Midwsest,1
4,2,NC,South,1
4,2,NJ,Northeast,2
4,2,NY,Northeast,1
4,2,OH,Midwsest,1
4,3,CA,West,1
