"Age","Gender","Region","States"
3,1,"South","FL"
2,1,"West","AZ"
4,2,"Northeast","NY"
4,1,"Midwsest","MI"
3,1,"South","GA"
3,1,"South","AL"
4,2,"South","NC"
4,2,"Northeast","NJ"
4,1,"South","MD"
3,1,"South","FL"
3,2,"West","CO"
3,2,"Midwsest","OH"
3,2,"South","TX"
2,1,"Midwsest","IL"
4,1,"West","CA"
4,1,"South","FL"
4,1,"West","AZ"
3,3,"Northeast","CT"
4,3,"West","CA"
3,2,"Northeast","NY"
3,1,"South","FL"
3,1,"South","WV"
3,1,"West","AZ"
2,3,"South","DC"
4,1,"Northeast","NJ"
3,2,"Northeast","NY"
4,1,"West","CA"
3,2,"Midwsest","IL"
3,1,"West","AZ"
2,1,"South","NC"
4,1,"South","GA"
4,1,"South","GA"
3,1,"West","CA"
4,1,"South","TX"
4,1,"West","CA"
2,3,"Midwsest","IN"
2,1,"South","TX"
3,3,"South","TN"
2,1,"West","CA"
3,3,"Midwsest","MO"
2,1,"South","GA"
2,1,"Northeast","NY"
3,2,"South","MD"
3,1,"South","FL"
2,1,"South","SC"
2,1,"West","CA"
2,1,"South","TX"
3,1,"South","NC"
3,1,"South","AR"
2,1,"South","TN"
2,1,"Midwsest","IA"
2,1,"West","CA"
2,2,"South","FL"
2,1,"South","TX"
2,2,"Midwsest","OH"
2,1,"South","VA"
3,1,"South","VA"
4,2,"West","AZ"
2,1,"South","NC"
1,1,"West","CA"
4,2,"West","CA"
3,1,"Midwsest","WI"
3,1,"South","DC"
4,1,"West","NV"
4,2,"Midwsest","MI"
4,2,"Midwsest","MO"
3,2,"South","MD"
3,1,"West","CA"
4,1,"Midwsest","OH"
4,1,"West","NV"
2,3,"Midwsest","MO"
4,1,"South","LA"
3,1,"West","CA"
3,2,"South","TX"
3,1,"South","FL"
4,1,"South","OK"
2,1,"South","TN"
4,2,"South","FL"
3,1,"West","CA"
4,2,"South","AL"
4,1,"Midwsest","MO"
1,1,"South","TX"
3,1,"Northeast","MA"
2,3,"Midwsest","MO"
3,1,"West","CA"
4,1,"Midwsest","IN"
4,1,"West","WA"
2,1,"West","CA"
4,1,"West","WA"
4,2,"South","GA"
3,2,"South","TX"
4,1,"West","WA"
2,1,"Midwsest","IA"
2,1,"West","CA"
2,3,"Northeast","PA"
2,1,"Northeast","NY"
3,2,"West","CA"
4,2,"Northeast","NJ"
3,1,"Northeast","NJ"
3,2,"Northeast","PA"
2,1,"Midwsest","OH"
3,1,"Northeast","NY"
4,2,"South","FL"
4,2,"Northeast","MA"
2,1,"West","AZ"
2,1,"South","SC"
4,2,"Midwsest","OH"
