Age,Gender,States,Region,Count
2,1,CA,West,1
2,1,NC,South,1
2,1,NE,Midwsest,1
2,1,OH,Midwsest,1
2,1,TX,South,2
2,1,VA,South,1
2,2,DC,South,1
2,2,ID,West,1
2,2,KY,South,1
2,2,ME,Northeast,1
2,2,MI,Midwsest,1
2,2,NV,West,1
2,2,WA,West,1
2,3,NC,South,1
3,1,AL,South,1
3,1,AZ,West,1
3,1,CA,West,5
3,1,CO,West,1
3,1,GA,South,1
3,1,KS,Midwsest,1
3,1,MD,South,1
3,1,ME,Northeast,1
3,1,MN,Midwsest,1
3,1,MO,Midwsest,1
3,1,MS,South,1
3,1,NC,South,1
3,1,NH,Northeast,1
3,1,NV,West,1
3,1,NY,Northeast,1
3,1,PA,Northeast,1
3,1,SC,South,1
3,1,TN,South,1
3,1,TX,South,2
3,1,WI,Midwsest,1
3,2,AR,South,1
3,2,CO,West,1
3,2,FL,South,2
3,2,KY,South,1
3,2,MI,Midwsest,1
3,2,MS,South,1
3,2,NC,South,1
3,2,NJ,Northeast,1
3,2,NY,Northeast,2
3,2,OH,Midwsest,3
3,2,TN,South,2
3,2,TX,South,3
3,2,UT,West,2
3,2,VA,South,1
3,3,IN,Midwsest,1
4,1,AR,South,2
4,1,AZ,West,9
4,1,CA,West,6
4,1,CO,West,1
4,1,CT,Northeast,2
4,1,FL,South,6
4,1,GA,South,1
4,1,ID,West,1
4,1,IL,Midwsest,6
4,1,IN,Midwsest,2
4,1,KY,South,1
4,1,LA,South,1
4,1,MA,Northeast,1
4,1,MD,South,3
4,1,MI,Midwsest,1
4,1,MN,Midwsest,1
4,1,MO,Midwsest,1
4,1,MS,South,1
4,1,MT,West,1
4,1,NC,South,5
4,1,ND,Midwsest,2
4,1,NE,Midwsest,1
4,1,NJ,Northeast,3
4,1,NV,West,2
4,1,NY,Northeast,5
4,1,OH,Midwsest,3
4,1,OR,West,3
4,1,PA,Northeast,4
4,1,RI,Northeast,1
4,1,SC,South,1
4,1,TN,South,1
4,1,TX,South,5
4,1,UT,West,1
4,1,VA,South,1
4,1,WA,West,4
4,1,WI,Midwsest,2
4,2,AR,South,2
4,2,AZ,West,1
4,2,CA,West,12
4,2,CT,Northeast,1
4,2,FL,South,8
4,2,GA,South,2
4,2,IA,Midwsest,2
4,2,IL,Midwsest,2
4,2,IN,Midwsest,4
4,2,KS,Midwsest,1
4,2,LA,South,1
4,2,MA,Northeast,1
4,2,MI,Midwsest,3
4,2,MN,Midwsest,1
4,2,MO,Midwsest,1
4,2,NC,South,3
4,2,NJ,Northeast,3
4,2,NV,West,1
4,2,NY,Northeast,5
4,2,OH,Midwsest,3
4,2,OK,South,1
4,2,OR,West,2
4,2,PA,Northeast,14
4,2,SC,South,3
4,2,SD,Midwsest,1
4,2,TN,South,1
4,2,TX,South,3
4,2,UT,West,3
4,2,VA,South,2
4,2,WA,West,6
4,2,WI,Midwsest,4
4,4,MI,Midwsest,1
