,Q1,Q2,Q3,Q14,region
1121,43,2,39,3,1
1465,51,1,35,3,2
1142,31,1,6,3,4
1435,35,1,50,3,2
1449,51,1,35,3,2
1937,33,1,5,3,4
1140,69,1,48,3,4
1119,44,1,33,3,1
1111,65,1,4,3,3
1128,68,1,47,3,3
1856,32,2,36,3,2
1470,51,1,39,3,1
1436,46,1,24,3,2
1967,32,2,6,3,4
1104,50,1,3,3,4
2000,29,1,44,3,3
1050,69,2,4,3,3
1363,46,1,18,3,3
1054,69,2,23,3,2
1988,27,2,9,3,3
1056,58,2,23,3,2
1057,65,2,23,3,2
1062,62,2,5,3,4
1063,66,2,48,3,4
1065,68,2,16,3,2
1336,49,1,15,3,2
1979,22,2,23,3,2
1374,44,2,39,3,1
1334,34,1,30,3,1
1413,41,1,31,3,1
1072,65,2,36,3,2
1079,68,2,15,3,2
1385,35,1,24,3,2
1086,48,1,11,3,3
1388,53,1,15,3,2
1089,62,1,5,3,4
1855,19,1,36,3,2
1090,68,2,41,3,3
1091,59,1,14,3,2
1397,38,1,20,3,1
1400,41,2,36,3,2
1404,52,1,39,3,1
1950,26,2,48,3,4
1102,67,2,39,3,1
1407,36,1,26,3,2
1970,26,2,29,3,4
1146,65,1,43,3,3
1802,37,1,29,3,4
1852,48,2,5,3,4
1298,59,1,36,3,2
1703,38,2,43,3,3
1539,37,1,43,3,3
1216,67,2,22,3,1
1537,38,2,47,3,3
1215,64,2,31,3,1
1303,65,1,10,3,3
1726,69,1,21,3,3
1211,66,1,38,3,4
1727,65,1,31,3,1
1529,38,2,43,3,3
1208,69,2,39,3,1
1738,38,1,17,3,2
1304,69,2,34,3,3
1742,61,1,3,3,4
1297,63,2,39,3,1
1743,34,1,33,3,1
1553,26,1,34,3,3
1672,31,2,44,3,3
1263,68,2,10,3,3
1252,56,1,6,3,4
1251,68,2,39,3,1
1246,55,1,14,3,2
1638,30,2,10,3,3
1241,65,2,41,3,3
1596,38,2,34,3,3
1272,68,1,40,3,1
1592,38,2,44,3,3
1588,35,2,44,3,3
1281,47,2,33,3,1
1235,66,1,3,3,4
1580,34,2,18,3,3
1230,55,1,21,3,3
1559,32,1,44,3,3
1287,68,1,3,3,4
1148,54,1,10,3,3
1746,31,1,44,3,3
1306,65,2,15,3,2
1606,52,2,34,3,3
1803,53,2,5,3,4
1489,51,1,14,3,2
1485,54,1,23,3,2
1166,58,2,33,3,1
1834,37,1,39,3,1
1837,50,1,38,3,4
1838,52,1,44,3,3
1320,19,3,34,3,3
1476,54,1,33,3,1
1846,32,2,45,3,4
1152,62,1,48,3,4
1151,61,2,43,3,3
1473,52,1,26,3,2
1150,68,1,38,3,4
1798,30,1,5,3,4
1749,59,2,10,3,3
1174,69,2,38,3,4
1175,32,1,41,3,3
1203,66,1,45,3,4
1201,68,2,39,3,1
1762,61,1,5,3,4
1764,68,1,13,3,4
1768,39,1,3,3,4
1196,68,1,36,3,2
1505,65,2,50,3,2
1195,67,2,11,3,3
1193,69,2,33,3,1
1192,63,2,5,3,4
1186,61,2,10,3,3
1789,35,1,5,3,4
1792,49,1,5,3,4
1494,53,1,14,3,2
1181,64,1,31,3,1
1796,52,1,5,3,4
0,66,2,24,3,2
2006,43,1,39,3,1
597,42,1,34,3,3
261,64,2,31,3,1
262,40,2,34,3,3
794,28,1,28,3,2
789,35,2,36,3,2
269,63,1,34,3,3
774,56,2,29,3,4
271,32,1,25,3,3
272,41,1,7,3,1
277,65,1,10,3,3
97,53,1,28,3,2
282,68,1,3,3,4
752,40,2,14,3,2
745,48,2,44,3,3
96,52,1,3,3,4
294,53,2,5,3,4
295,47,2,16,3,2
302,59,1,39,3,1
311,62,1,50,3,2
708,42,2,48,3,4
257,57,2,10,3,3
248,68,1,48,3,4
246,62,1,36,3,2
234,68,2,10,3,3
963,38,1,21,3,3
172,66,1,3,3,4
178,32,1,5,3,4
179,63,1,48,3,4
13,69,2,7,3,1
187,65,2,10,3,3
938,38,1,1,3,3
936,31,1,34,3,3
908,24,1,44,3,3
312,68,2,33,3,1
199,63,2,3,3,4
895,28,2,20,3,1
27,57,1,14,3,2
881,33,2,33,3,1
876,37,2,36,3,2
211,65,2,39,3,1
214,42,2,10,3,3
870,36,2,23,3,2
860,31,2,31,3,1
222,59,1,44,3,3
200,61,2,4,3,3
50,53,1,10,3,3
707,45,2,5,3,4
704,35,2,45,3,4
408,62,1,29,3,4
568,38,2,10,3,3
426,67,2,39,3,1
549,32,1,11,3,3
548,50,1,44,3,3
430,66,2,36,3,2
68,69,1,33,3,1
534,43,1,25,3,3
69,62,2,47,3,3
598,46,1,34,3,3
70,55,2,5,3,4
439,61,1,7,3,1
523,49,1,19,3,3
75,44,2,11,3,3
449,68,2,47,3,3
494,36,2,25,3,3
478,65,2,10,3,3
477,56,2,44,3,3
471,69,2,39,3,1
466,48,1,4,3,3
436,62,2,39,3,1
167,68,2,5,3,4
604,54,1,5,3,4
391,62,1,50,3,2
684,46,1,44,3,3
321,62,1,34,3,3
326,58,1,33,3,1
55,67,2,15,3,2
666,43,1,27,3,4
665,54,1,5,3,4
660,28,1,47,3,3
339,42,2,37,3,3
654,53,1,10,3,3
65,67,2,39,3,1
57,68,1,3,3,4
646,50,1,34,3,3
642,28,1,5,3,4
641,42,1,44,3,3
365,69,1,21,3,3
367,67,2,15,3,2
371,64,2,33,3,1
372,62,2,44,3,3
623,52,1,41,3,3
384,59,2,41,3,3
356,65,1,33,3,1
12,68,2,39,3,1
263,64,2,31,3,1
1017,53,2,5,3,4
1026,69,4,23,3,2
8,68,2,5,3,4
1019,61,2,45,3,4
146,67,2,48,3,4
997,60,2,50,3,2
998,66,2,48,3,4
999,66,2,26,3,2
981,46,2,42,3,2
112,63,1,10,3,3
4,65,2,39,3,1
1,33,1,5,3,4
1001,67,2,50,3,2
142,28,2,13,3,4
1006,30,3,15,3,2
141,48,1,14,3,2
6,67,1,3,3,4
133,33,2,33,3,1
1031,62,2,48,3,4
150,60,1,22,3,1
1035,61,2,48,3,4
1018,49,2,5,3,4
124,67,2,19,3,3
115,69,1,29,3,4
1010,65,2,45,3,4
109,69,2,50,3,2
988,66,2,38,3,4
1013,44,2,14,3,2
1032,44,2,17,3,2
974,25,2,18,3,3
121,39,2,4,3,3
987,65,2,45,3,4
1037,56,2,5,3,4
