Participant,Age,Gender,States,Nike(Awareness),Nike(Consideration),Nike(Purchase),BrandPreference,Nike_OA,OA_Sentiment,comfortable,uncomfortable,eco-friendly,pricey,affordable,innovative,good quality,cool,classic,popular,casual,lifestyle,old-fashioned,exclusive,overrated,fashionable,impressive,confident,sociable,lazy,obnoxious,Urban Suburban Rural,Race,Education,Income,,pos,text
1116,59,2,26,1,1,0,1,Stylish and fun to wear,0.92131907,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,,0.11529407,made for a narrow foot
1125,40,2,39,1,1,1,1,very duable but pricey,0.14893723,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,3,3,,0.96627533,a very strong brand one of my favorites too
1129,19,1,10,1,1,1,1,Nike is a footwear manufacturing company and has fitness shoe and gear,0.12539884,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2,1,,0.92131907,stylish and fun to wear
1136,41,2,10,1,1,1,1,i really love their shoes,0.9823369,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,9,7,,0.006373246,i had a couple of pairs before but they don t fit too well
1160,45,1,34,1,1,1,1,A great brand with lots of cool different styles,0.9776062,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,6,1,,0.009690661,i m not a phil knight fan and avoid purchasing nike products
1184,51,1,33,1,1,1,1,like the lok and fit but I do not agree with their social stance,0.006118482,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,2,1,7,7,,0.10040764,nike s shoes has a large arrangement of stylist variation of selections
1189,39,1,5,1,1,1,1,Very comfortable neutral sports and active lifestyles shoes,0.8539574,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,2,1,3,4,,0.14893723,very duable but pricey
1201,69,1,44,1,1,1,1,they are my most comfortable tennis shoes,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,6,8,,0.00913693,expensive most of their styles are not to my taste
1212,50,2,19,1,1,1,1,Very quality comfortable brand that I love wearing ,,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,2,1,2,1,,0.12539884,nike is a footwear manufacturing company and has fitness shoe and gear
1228,48,1,33,1,1,1,1,Nike sneakers are comfortable even when you wear them for a long period of time ,,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,2,1,7,5,,0.7892379,a popular and athletic brand that is active in many areas of sport
1240,51,1,5,1,1,1,1,its the best in class,0.94945973,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,2,4,,0.9823369,i really love their shoes
1255,34,1,21,1,1,1,1,Nike is one of the top athletic brands in America They have loads of different designs and styles for everybody,0.92891926,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,6,2,,0.6464574,high priced and well crafted usually
1267,38,2,44,1,1,1,1,The best sneaker and athletic shoes there are,0.94283515,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,5,1,,0.002532425,nike a brand i will never buy because of there social issues stance
1269,32,2,44,1,1,0,1,It is one of the best brands I know ,,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,7,4,,0.090064585,popular brand has the swoosh major athletic brand
1276,67,2,1,1,1,1,1,Best looking but not the best fit,0.089436635,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,6,2,,0.69934195,well established classic high quality brand for walking or running with an iconic brand image the swoosh
1300,64,2,7,1,1,1,1,Best brand of sneakers,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,7,,0.9776062,a great brand with lots of cool different styles
1307,58,2,5,1,1,1,1,a cool and stylish brand,0.8965205,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,3,2,3,,0.8760686,considered the best brand expensive lots of variety
1320,58,1,14,1,1,1,1,one of the most reliable shoe you can buy last forever,0.942422,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,2,1,2,1,,0.006021434,overpriced shoes made by children overseas
1323,61,2,5,1,1,1,1,Leader in athletic shoes with many options,0.3983863,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,6,1,,0.34082532,global and functional
1355,55,2,1,1,1,1,1,"great company, wide variety of shoes and products",,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,5,7,,0.32676795,nike has a few models that repeats in different colors or materials over the year it s only big because of michael jordan catering mostly to black and spanish kids
1356,49,2,10,1,1,1,1,the best,0.8702048,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,2,1,2,2,,0.20817125,professional athletic stylish but a little expensive
1360,46,1,38,1,1,1,1,Designed for high performance and popular with athletes  Nike is known for quality,,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,7,4,,0.9823402,very comfortable and quality material is very good
