,Q1,Q2,Q3,Q14,region
524,50,1,3,1,4
469,68,1,11,1,3
1282,63,2,40,1,1
815,34,1,39,1,1
1556,30,3,41,1,3
1555,34,2,21,1,3
475,42,2,33,1,1
1554,37,1,34,1,3
811,30,1,33,1,1
810,33,1,14,1,2
480,21,2,10,1,3
481,29,2,25,1,3
482,44,2,44,1,3
483,33,2,6,1,4
1293,69,1,50,1,2
485,38,2,10,1,3
1545,38,1,43,1,3
1543,30,1,21,1,3
468,48,1,5,1,4
1300,55,1,44,1,3
1560,32,1,9,1,3
1564,23,2,10,1,3
444,69,2,14,1,2
445,61,1,12,1,4
1583,31,2,10,1,3
822,22,1,31,1,1
1581,33,1,11,1,3
821,29,1,22,1,1
451,21,1,10,1,3
452,66,1,34,1,3
1579,27,1,5,1,4
820,24,1,40,1,1
1577,38,1,10,1,3
456,59,1,14,1,2
1570,34,1,10,1,3
1567,30,1,34,1,3
818,32,2,39,1,1
462,42,1,36,1,2
817,29,1,15,1,2
1563,36,2,44,1,3
489,31,2,21,1,3
490,35,2,29,1,4
491,33,2,11,1,3
1525,31,1,47,1,3
798,34,2,17,1,2
517,52,2,44,1,3
796,24,2,36,1,2
519,33,1,47,1,3
1524,32,1,34,1,3
1307,45,1,44,1,3
1523,28,2,11,1,3
1522,22,1,21,1,3
1044,67,2,36,1,2
1308,69,1,10,1,3
1521,23,1,10,1,3
527,38,1,29,1,4
792,24,1,33,1,1
1520,33,1,41,1,3
791,37,2,31,1,1
1519,33,1,4,1,3
1526,35,1,4,1,3
513,22,2,4,1,3
1527,23,1,11,1,3
799,35,1,36,1,2
492,31,2,5,1,4
493,32,2,5,1,4
1542,37,1,1,1,3
495,33,2,5,1,4
496,27,2,19,1,3
805,23,1,22,1,1
498,41,2,47,1,3
499,28,2,3,1,4
823,30,2,33,1,1
804,32,2,33,1,1
502,21,2,5,1,4
803,28,2,31,1,1
1533,38,2,44,1,3
1301,58,1,11,1,3
1532,22,1,10,1,3
1531,22,1,10,1,3
800,31,1,13,1,4
509,31,2,10,1,3
501,29,2,5,1,4
1584,28,2,34,1,3
1585,36,2,11,1,3
438,55,1,36,1,2
374,19,1,34,1,3
1637,29,2,10,1,3
1636,32,2,10,1,3
1635,36,2,10,1,3
378,49,2,39,1,1
1634,35,2,44,1,3
1633,36,2,11,1,3
1632,42,2,11,1,3
383,41,2,11,1,3
1631,35,2,43,1,3
849,23,2,31,1,1
386,29,2,33,1,1
1630,38,2,43,1,3
1628,33,2,19,1,3
389,32,2,11,1,3
1627,28,2,21,1,3
1626,33,2,11,1,3
373,62,1,31,1,1
1244,69,1,43,1,3
1640,25,2,3,1,4
1641,37,2,21,1,3
348,23,1,48,1,4
349,18,1,5,1,4
863,22,2,50,1,2
1660,32,2,37,1,3
862,33,2,39,1,1
1239,57,1,5,1,4
1240,66,1,10,1,3
1655,36,2,10,1,3
1625,32,2,19,1,3
1654,30,2,10,1,3
857,35,2,33,1,1
856,34,2,20,1,1
363,39,2,33,1,1
855,32,2,31,1,1
1648,27,3,47,1,3
854,21,2,22,1,1
1643,31,2,47,1,3
368,58,1,31,1,1
358,66,1,3,1,4
532,38,1,10,1,3
1624,36,2,10,1,3
1620,22,2,10,1,3
420,47,2,16,1,2
834,27,1,17,1,2
1268,60,2,44,1,3
1597,22,2,44,1,3
1595,24,2,1,1,3
1594,37,2,34,1,3
830,22,1,33,1,1
428,66,1,44,1,3
1591,21,2,43,1,3
829,32,1,33,1,1
431,29,2,31,1,1
828,25,2,39,1,1
1280,68,2,7,1,1
1587,33,2,18,1,3
826,21,1,14,1,2
825,22,1,23,1,2
437,68,2,50,1,2
1264,21,1,43,1,3
1601,21,3,10,1,3
416,29,1,34,1,3
415,53,1,11,1,3
1619,23,2,30,1,1
1618,21,2,44,1,3
1617,22,2,11,1,3
845,26,2,33,1,1
1615,28,2,49,1,3
1614,37,2,34,1,3
843,30,1,14,1,2
1256,66,1,47,1,3
847,32,2,33,1,1
1612,34,2,11,1,3
1610,29,2,47,1,3
1609,27,2,47,1,3
1607,21,2,37,1,3
841,28,2,33,1,1
1259,63,1,37,1,3
838,22,1,23,1,2
837,38,1,31,1,1
1602,22,2,21,1,3
1611,36,2,11,1,3
1662,30,2,44,1,3
1514,49,1,1,1,3
535,47,1,34,1,3
1402,38,1,24,1,2
1398,37,2,33,1,1
746,24,2,47,1,3
658,38,1,5,1,4
1395,48,1,33,1,1
1332,40,2,14,1,2
661,32,1,34,1,3
662,33,2,5,1,4
1392,42,2,39,1,1
743,39,2,23,1,2
1387,40,2,14,1,2
742,40,2,11,1,3
1383,30,1,31,1,1
1380,29,2,33,1,1
670,39,1,44,1,3
671,36,1,44,1,3
1378,41,1,33,1,1
652,54,1,48,1,4
738,42,2,38,1,4
749,44,2,11,1,3
1411,41,1,14,1,2
1426,40,2,33,1,1
632,30,1,1,1,3
633,41,2,22,1,1
634,46,1,45,1,4
1423,52,1,14,1,2
1420,31,1,14,1,2
637,45,1,35,1,2
638,47,2,44,1,3
639,43,1,44,1,3
755,38,2,14,1,2
1418,50,1,30,1,1
753,41,3,2,1,4
1331,36,1,6,1,4
751,41,2,10,1,3
1414,47,1,33,1,1
750,33,2,10,1,3
648,46,1,34,1,3
1408,25,1,14,1,2
1372,45,2,24,1,2
1371,27,1,6,1,4
679,30,2,44,1,3
705,43,2,21,1,3
727,46,2,34,1,3
1360,58,2,5,1,4
1356,51,1,10,1,3
1355,28,1,41,1,3
1354,39,2,5,1,4
1353,36,1,43,1,3
1349,42,1,33,1,1
713,40,2,10,1,3
1345,42,2,33,1,1
715,46,2,11,1,3
1346,30,1,10,1,3
717,43,2,5,1,4
1348,42,2,44,1,3
719,25,2,44,1,3
720,46,2,34,1,3
721,35,2,11,1,3
1342,47,2,6,1,4
703,33,2,13,1,4
702,18,1,5,1,4
701,26,2,5,1,4
1370,45,2,24,1,2
682,46,2,10,1,3
734,35,2,5,1,4
1369,38,2,36,1,2
733,46,2,27,1,4
686,28,1,3,1,4
1339,42,1,44,1,3
688,31,2,12,1,4
630,28,1,10,1,3
1368,27,1,25,1,3
691,20,1,22,1,1
692,35,2,45,1,4
1366,43,1,50,1,2
695,30,1,5,1,4
696,25,1,33,1,1
1365,47,1,34,1,3
730,39,2,10,1,3
729,42,2,38,1,4
