Age,Gender,States,Region,Count
1,1,CA,West,3
1,1,OH,Midwsest,1
1,2,PA,Northeast,1
2,1,AZ,West,1
2,1,CA,West,7
2,1,CO,West,1
2,1,FL,South,12
2,1,GA,South,3
2,1,IL,Midwsest,4
2,1,IN,Midwsest,3
2,1,KS,Midwsest,1
2,1,LA,South,2
2,1,MA,Northeast,4
2,1,MD,South,1
2,1,MI,Midwsest,3
2,1,MO,Midwsest,1
2,1,MS,South,2
2,1,NC,South,7
2,1,NJ,Northeast,2
2,1,NM,West,1
2,1,NV,West,1
2,1,NY,Northeast,5
2,1,OH,Midwsest,2
2,1,OK,South,1
2,1,OR,West,2
2,1,PA,Northeast,3
2,1,RI,Northeast,1
2,1,SC,South,1
2,1,TN,South,2
2,1,TX,South,6
2,1,VA,South,2
2,1,WA,West,2
2,2,AL,South,2
2,2,AR,South,1
2,2,AZ,West,3
2,2,CA,West,8
2,2,CT,Northeast,1
2,2,FL,South,11
2,2,GA,South,2
2,2,IA,Midwsest,1
2,2,ID,West,1
2,2,IL,Midwsest,1
2,2,IN,Midwsest,1
2,2,KS,Midwsest,1
2,2,LA,South,1
2,2,MA,Northeast,2
2,2,MD,South,2
2,2,MI,Midwsest,2
2,2,MO,Midwsest,1
2,2,MS,South,2
2,2,NC,South,4
2,2,NH,Northeast,2
2,2,NJ,Northeast,8
2,2,NY,Northeast,6
2,2,OH,Midwsest,2
2,2,OK,South,1
2,2,PA,Northeast,1
2,2,SC,South,1
2,2,TN,South,2
2,2,TX,South,7
2,2,VA,South,7
2,2,WI,Midwsest,3
2,2,WV,South,1
2,3,FL,South,1
2,3,VA,South,1
2,4,NJ,Northeast,1
3,1,AL,South,3
3,1,AR,South,2
3,1,CA,West,10
3,1,CO,West,2
3,1,DC,South,1
3,1,FL,South,6
3,1,GA,South,2
3,1,ID,West,1
3,1,IL,Midwsest,6
3,1,IN,Midwsest,2
3,1,KY,South,2
3,1,MD,South,3
3,1,MI,Midwsest,1
3,1,MN,Midwsest,1
3,1,MO,Midwsest,2
3,1,MS,South,1
3,1,NC,South,5
3,1,NJ,Northeast,4
3,1,NV,West,1
3,1,NY,Northeast,4
3,1,OH,Midwsest,3
3,1,OR,West,1
3,1,PA,Northeast,1
3,1,SC,South,3
3,1,TN,South,3
3,1,TX,South,7
3,1,UT,West,1
3,1,VA,South,5
3,1,WY,West,1
3,2,AK,West,1
3,2,AL,South,3
3,2,CA,West,21
3,2,CO,West,2
3,2,FL,South,14
3,2,GA,South,11
3,2,HI,West,1
3,2,IA,Midwsest,1
3,2,ID,West,2
3,2,IL,Midwsest,4
3,2,IN,Midwsest,1
3,2,KS,Midwsest,1
3,2,KY,South,2
3,2,LA,South,2
3,2,MA,Northeast,2
3,2,MD,South,4
3,2,ME,Northeast,1
3,2,MI,Midwsest,5
3,2,MO,Midwsest,2
3,2,NC,South,5
3,2,NJ,Northeast,6
3,2,NV,West,2
3,2,NY,Northeast,13
3,2,OH,Midwsest,5
3,2,OK,South,1
3,2,OR,West,2
3,2,PA,Northeast,2
3,2,TN,South,4
3,2,TX,South,16
3,2,UT,West,1
3,2,VA,South,6
3,2,WA,West,3
3,3,SC,South,1
4,1,AL,South,1
4,1,AZ,West,4
4,1,CA,West,17
4,1,CO,West,3
4,1,DE,South,1
4,1,FL,South,8
4,1,GA,South,6
4,1,HI,West,2
4,1,IA,Midwsest,1
4,1,IL,Midwsest,7
4,1,IN,Midwsest,1
4,1,KY,South,3
4,1,MA,Northeast,1
4,1,MD,South,2
4,1,MI,Midwsest,1
4,1,NC,South,8
4,1,ND,Midwsest,1
4,1,NH,Northeast,1
4,1,NJ,Northeast,6
4,1,NV,West,1
4,1,NY,Northeast,12
4,1,OH,Midwsest,3
4,1,OK,South,1
4,1,OR,West,4
4,1,PA,Northeast,2
4,1,SC,South,1
4,1,TN,South,1
4,1,TX,South,12
4,1,UT,West,1
4,1,VA,South,2
4,1,WA,West,2
4,1,WI,Midwsest,4
4,1,WV,South,2
4,2,AL,South,2
4,2,AZ,West,3
4,2,CA,West,22
4,2,CO,West,1
4,2,CT,Northeast,2
4,2,FL,South,11
4,2,GA,South,7
4,2,HI,West,1
4,2,IA,Midwsest,1
4,2,IL,Midwsest,6
4,2,LA,South,1
4,2,MA,Northeast,2
4,2,MD,South,2
4,2,MI,Midwsest,2
4,2,MN,Midwsest,8
4,2,MO,Midwsest,3
4,2,MT,West,1
4,2,NC,South,3
4,2,NJ,Northeast,1
4,2,NY,Northeast,7
4,2,OH,Midwsest,2
4,2,OR,West,4
4,2,PA,Northeast,4
4,2,RI,Northeast,1
4,2,TX,South,9
4,2,VA,South,1
4,2,WA,West,1
4,2,WI,Midwsest,3
4,3,AK,West,1
4,4,DE,South,1
