,Q1,Q2,Q3,Q14,region
78,37,2,39,5,1
256,65,1,50,5,2
1325,42,2,44,5,3
433,64,1,23,5,2
1027,64,2,14,5,2
440,69,1,5,5,4
41,55,1,44,5,3
1874,30,3,26,5,2
514,34,2,44,5,3
1444,52,1,50,5,2
1647,33,2,41,5,3
1946,27,1,23,5,2
508,38,2,19,5,3
507,32,2,5,5,4
1442,40,2,14,5,2
258,66,1,33,5,1
619,29,1,10,5,3
627,24,1,5,5,4
1309,54,1,40,5,1
1453,49,2,33,5,1
397,67,2,37,5,3
1864,25,1,14,5,2
1478,36,2,33,5,1
1064,65,2,5,5,4
131,50,1,23,5,2
127,54,1,6,5,4
395,56,2,14,5,2
324,61,1,15,5,2
1656,33,2,11,5,3
1604,55,1,2,5,4
763,38,2,14,5,2
393,69,2,44,5,3
91,55,2,45,5,4
419,53,2,47,5,3
421,55,1,5,5,4
1497,53,1,23,5,2
1061,57,2,15,5,2
1344,36,2,38,5,4
547,29,2,37,5,3
1504,49,1,14,5,2
360,63,1,39,5,1
1367,51,1,11,5,3
413,63,2,15,5,2
1352,37,2,5,5,4
247,67,2,44,5,3
1265,66,1,15,5,2
1125,68,1,5,5,4
1248,69,2,33,5,1
1124,66,1,39,5,1
833,38,2,33,5,1
1260,67,1,22,5,1
924,36,1,47,5,3
206,51,1,21,5,3
225,48,2,14,5,2
174,67,1,10,5,3
1199,64,1,10,5,3
1179,67,1,39,5,1
958,42,1,11,5,3
851,37,2,14,5,2
1243,59,1,41,5,3
1227,66,1,8,5,3
1277,29,1,43,5,3
1254,57,2,22,5,1
1827,49,1,33,5,1
21,52,1,34,5,3
245,66,2,44,5,3
165,46,1,49,5,3
976,32,1,15,5,2
1276,63,1,14,5,2
865,35,2,22,5,1
1173,69,1,5,5,4
218,64,2,14,5,2
217,52,2,43,5,3
189,32,2,5,5,4
