Age,Gender,States,Region,Count
2,1,CA,West,1
2,1,FL,South,1
2,1,IL,Midwsest,1
2,1,MI,Midwsest,1
2,1,TN,South,1
2,2,OK,South,1
3,1,IN,Midwsest,1
3,1,VA,South,1
3,2,CA,West,3
3,2,GA,South,1
3,2,IL,Midwsest,2
3,2,LA,South,1
3,2,MA,Northeast,1
3,2,NY,Northeast,2
3,2,OR,West,1
3,2,PA,Northeast,1
3,2,SC,South,1
3,2,TX,South,1
3,3,MO,Midwsest,1
4,1,AK,West,1
4,1,CA,West,4
4,1,CO,West,1
4,1,DE,South,1
4,1,FL,South,2
4,1,GA,South,2
4,1,IL,Midwsest,2
4,1,IN,Midwsest,2
4,1,MA,Northeast,1
4,1,MD,South,1
4,1,MI,Midwsest,3
4,1,NC,South,1
4,1,NY,Northeast,2
4,1,PA,Northeast,3
4,1,RI,Northeast,1
4,1,SC,South,1
4,1,TX,South,1
4,1,WI,Midwsest,2
4,1,WV,South,1
4,2,CA,West,1
4,2,IL,Midwsest,5
4,2,IN,Midwsest,2
4,2,MA,Northeast,1
4,2,NY,Northeast,2
4,2,OK,South,1
4,2,TN,South,1
4,2,TX,South,4
4,2,UT,West,1
4,2,VA,South,1
