"Age","Gender","Region","States"
3,2,"Northeast","PA"
4,1,"Midwsest","WI"
4,2,"South","TX"
4,1,"Midwsest","MI"
4,2,"Midwsest","IL"
4,1,"West","CA"
4,1,"South","TX"
3,3,"Midwsest","MO"
3,2,"South","TX"
4,1,"Midwsest","WI"
3,2,"South","SC"
2,1,"Midwsest","MI"
3,2,"South","LA"
3,2,"West","CA"
4,2,"Midwsest","IL"
4,1,"Northeast","NY"
2,1,"South","FL"
2,1,"West","CA"
4,1,"Northeast","RI"
4,2,"Northeast","NY"
4,2,"South","OK"
2,1,"Midwsest","IL"
3,2,"Northeast","NY"
4,2,"West","CA"
4,1,"Midwsest","MI"
4,1,"West","CO"
4,2,"Midwsest","IL"
4,1,"Midwsest","IN"
3,2,"South","GA"
4,1,"West","AK"
3,2,"Midwsest","IL"
4,2,"South","TX"
4,2,"West","UT"
4,2,"South","VA"
4,1,"West","CA"
4,1,"Midwsest","MI"
4,2,"Midwsest","IN"
3,2,"West","OR"
2,2,"South","OK"
4,1,"Midwsest","IL"
4,1,"Northeast","PA"
4,1,"South","GA"
4,2,"Midwsest","IN"
3,2,"West","CA"
4,2,"South","TX"
4,1,"Midwsest","IN"
4,1,"West","CA"
4,2,"Northeast","NY"
4,1,"Northeast","PA"
3,2,"Northeast","NY"
4,1,"Northeast","MA"
3,1,"South","VA"
4,1,"South","MD"
4,2,"Midwsest","IL"
4,1,"South","FL"
4,1,"South","FL"
4,1,"Northeast","PA"
4,1,"South","GA"
3,2,"Midwsest","IL"
4,1,"South","SC"
4,1,"South","DE"
2,1,"South","TN"
4,2,"Northeast","MA"
4,1,"Northeast","NY"
4,1,"South","NC"
4,2,"South","TX"
4,1,"South","WV"
3,1,"Midwsest","IN"
4,1,"Midwsest","IL"
3,2,"Northeast","MA"
4,1,"West","CA"
4,2,"Midwsest","IL"
4,2,"South","TN"
3,2,"West","CA"
