Gender,Age,States,Brand,Count
1,1,AL,Adidas,1
1,1,AZ,Nike,2
1,1,AZ,Puma,1
1,1,AZ,Toms,1
1,1,CA,Adidas,5
1,1,CA,Converse,5
1,1,CA,New Balance,1
1,1,CA,Nike,16
1,1,CA,Puma,2
1,1,CA,Reebok,1
1,1,CA,Toms,1
1,1,CA,Vans,6
1,1,CO,Converse,2
1,1,CO,Vans,2
1,1,CT,Nike,1
1,1,FL,Adidas,2
1,1,FL,Converse,1
1,1,FL,Nike,4
1,1,FL,Puma,2
1,1,FL,Vans,3
1,1,GA,Adidas,3
1,1,GA,Converse,3
1,1,GA,Keds,1
1,1,GA,New Balance,1
1,1,GA,Nike,5
1,1,GU,Adidas,2
1,1,GU,Nike,1
1,1,IA,Adidas,1
1,1,IA,Vans,1
1,1,IL,Adidas,2
1,1,IL,Converse,1
1,1,IL,Nike,8
1,1,IL,Puma,1
1,1,IL,Vans,2
1,1,IN,New Balance,1
1,1,IN,Nike,2
1,1,IN,Vans,1
1,1,KS,Nike,2
1,1,LA,Adidas,1
1,1,LA,New Balance,2
1,1,LA,Nike,2
1,1,LA,Vans,2
1,1,MA,Converse,1
1,1,MA,Nike,1
1,1,MA,Reebok,1
1,1,MA,Vans,1
1,1,MD,Adidas,1
1,1,MD,New Balance,1
1,1,MD,Puma,1
1,1,MD,Vans,1
1,1,ME,Converse,2
1,1,ME,New Balance,1
1,1,MI,Nike,1
1,1,MN,Adidas,3
1,1,MN,Converse,3
1,1,MN,Nike,8
1,1,MO,Converse,2
1,1,MO,Nike,4
1,1,MT,Nike,1
1,1,NC,Adidas,2
1,1,NC,Converse,1
1,1,NC,Nike,3
1,1,NC,Under Armour,1
1,1,NC,Vans,2
1,1,NE,Adidas,1
1,1,NE,Converse,1
1,1,NE,Nike,2
1,1,NH,Puma,1
1,1,NJ,Toms,2
1,1,NJ,Vans,1
1,1,NM,Adidas,2
1,1,NY,Adidas,3
1,1,NY,Converse,1
1,1,NY,New Balance,1
1,1,NY,Nike,4
1,1,NY,Puma,1
1,1,NY,Vans,1
1,1,OH,Converse,1
1,1,OH,Nike,6
1,1,OK,Adidas,1
1,1,OK,Converse,1
1,1,OK,New Balance,1
1,1,OK,Nike,2
1,1,OK,Vans,1
1,1,OR,Adidas,1
1,1,OR,Nike,1
1,1,OR,Vans,2
1,1,PA,Converse,1
1,1,PA,Nike,2
1,1,RI,Nike,1
1,1,TN,Adidas,2
1,1,TN,Nike,1
1,1,TX,Adidas,5
1,1,TX,Allbirds,1
1,1,TX,New Balance,1
1,1,TX,Nike,17
